[ 13-12-2012 @02:34:51 ] | INFO  | (CityOperations.java : 103) =>   City ID value: 2
[ 13-12-2012 @02:34:52 ] | INFO  | (CityOperations.java : 121) =>   setting City ID value as 2
[ 13-12-2012 @02:34:52 ] | INFO  | (CityOperations.java : 122) =>   setting City Name value as Delhi
[ 13-12-2012 @02:34:52 ] | INFO  | (CityOperations.java : 123) =>   --------get city record success---------
[ 13-12-2012 @02:37:12 ] | INFO  | (CinemaOperations.java : 90) =>   =============LOADING ADD CINEMA BODY============
[ 13-12-2012 @02:37:12 ] | DEBUG | (CinemaOperations.java : 91) =>   ===========Currently in cityOpPanel method===========
[ 13-12-2012 @02:37:14 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 13-12-2012 @02:37:14 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 13-12-2012 @02:37:15 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 160) =>   =============CURRENTLY IN MODIFY SELECTED CINEMA BODY============
[ 13-12-2012 @02:37:20 ] | DEBUG | (CinemaOperations.java : 161) =>   ===========Currently in getCinemaToModify method===========
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 164) =>   Cinema ID value: 1
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 189) =>   setting Cinema ID value as 1
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 190) =>   setting Cinema Name value as Testing
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 191) =>   setting Cinema address value as Downtown
Hell
11011
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 192) =>   setting City ID value as 2
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 193) =>   setting rating value as 4
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 194) =>   setting numOfScreens value as 3
